SA4_NAME21,le_2016_2018,le_2017_2019,le_2018_2020,le_2019_2021,le_2020_2022,le_2021_2023
Central Coast,81.4,81.4,81.7,82.0,82.1,82.1
Sydney - Baulkham Hills and Hawkesbury,86.0,86.1,86.5,86.8,86.8,86.6
Sydney - Blacktown,82.7,82.8,83.3,83.1,82.7,82.7
Sydney - City and Inner South,83.7,83.7,84.0,83.5,83.0,82.7
Sydney - Eastern Suburbs,85.1,85.3,85.8,85.7,85.4,84.9
Sydney - Inner South West,84.0,84.2,84.5,84.7,84.4,84.2
Sydney - Inner West,85.4,85.3,85.5,85.2,85.0,84.8
Sydney - North Sydney and Hornsby,86.7,86.6,86.8,86.8,86.7,86.7
Sydney - Northern Beaches,85.5,85.8,85.8,85.8,85.9,85.7
Sydney - Outer South West,82.1,82.3,82.6,82.8,82.6,82.1
Sydney - Outer West and Blue Mountains,81.8,81.8,82.5,82.7,82.6,82.4
Sydney - Parramatta,83.9,84.0,84.3,84.3,84.0,83.7
Sydney - Ryde,85.8,86.0,86.5,86.6,86.3,86.0
Sydney - South West,83.7,83.7,84.1,84.3,83.7,83.5
Sydney - Sutherland,85.0,84.7,84.7,84.6,84.7,85.3
Greater Sydney,84.1,84.2,84.5,84.5,84.3,84.1
Capital Region,82.0,82.2,82.5,82.3,82.1,82.2
Central West,80.6,80.6,80.7,80.9,81.1,80.8
Coffs Harbour - Grafton,81.3,81.1,81.0,80.6,81.1,80.8
Far West and Orana,79.1,79.5,79.6,79.1,78.6,78.3
Hunter Valley exc Newcastle,81.6,81.9,82.0,82.3,82.1,82.2
Illawarra,82.3,82.4,82.7,82.7,82.6,82.5
Mid North Coast,81.2,81.3,81.2,81.2,81.3,81.1
Murray,80.8,80.8,81.3,81.1,81.5,80.9
New England and North West,81.1,81.3,81.4,81.1,80.9,80.8
Newcastle and Lake Macquarie,81.6,81.4,81.6,81.9,82.0,81.9
Richmond - Tweed,81.1,81.2,81.4,81.6,81.8,81.8
Riverina,81.4,81.6,81.6,81.7,81.7,81.8
Southern Highlands and Shoalhaven,81.7,81.5,82.1,82.3,82.8,82.5
Rest of NSW,81.5,81.5,81.7,81.7,81.7,81.6
Total New South Wales,82.7,82.8,83.3,83.3,83.3,83.1
Melbourne - Inner,84.9,84.6,84.6,84.4,84.1,84.1
Melbourne - Inner East,86.5,86.2,86.5,86.3,86.3,86.2
Melbourne - Inner South,85.0,84.9,85.1,84.9,84.9,85.0
Melbourne - North East,84.6,84.3,84.6,84.1,84.0,84.0
Melbourne - North West,83.8,83.8,84.1,83.9,83.5,83.6
Melbourne - Outer East,84.5,84.1,84.2,83.7,84.0,83.9
Melbourne - South East,84.4,84.2,84.2,83.8,84.0,84.0
Melbourne - West,83.5,83.3,83.5,83.3,83.4,83.3
Mornington Peninsula,82.9,82.8,82.8,82.4,82.6,82.4
Greater Melbourne,84.5,84.3,84.4,84.1,84.1,84.1
Ballarat,81.6,81.6,81.5,81.3,81.2,81.5
