SA4_NAME21,Male,Female,Persons,Average
Adelaide - Central and Hills,82.8,86.8,84.7,84.8
Adelaide - North,80.4,83.7,82,82.05000000000001
Adelaide - South,81.6,85.3,83.4,83.44999999999999
Adelaide - West,79.9,85,82.4,82.45
Australia,80.7,84.9,82.8,82.80000000000001
Australian Capital Territory,81.2,85.3,83.2,83.25
Ballarat,79.2,84.1,81.6,81.65
Barossa - Yorke - Mid North,79.7,83.7,81.7,81.7
Bendigo,80.2,83.6,81.8,81.9
Brisbane - East,81.4,85.5,83.4,83.45
Brisbane - North,81,84.6,82.8,82.8
Brisbane - South,82.1,86,84,84.05
Brisbane - West,83.8,86.2,85,85.0
Brisbane Inner City,82.4,86.6,84.4,84.5
Bunbury,79.4,85.3,82.3,82.35
Cairns,77.7,84.3,80.9,81.0
Capital Region,79.5,84.6,82,82.05
Central Coast,79.2,83.8,81.4,81.5
Central Queensland,79.2,83.5,81.3,81.35
Central West,78.4,83,80.6,80.7
Coffs Harbour - Grafton,78.5,84.4,81.3,81.45
Darling Downs - Maranoa,79.8,84.6,82.2,82.19999999999999
Darwin,80,85.2,82.5,82.6
Far West and Orana,76.6,81.7,79.1,79.15
Geelong,81.3,85,83.1,83.15
Gold Coast,81.3,85.5,83.3,83.4
Greater Adelaide,81.2,85.1,83.1,83.15
Greater Brisbane,81.3,85.1,83.2,83.19999999999999
Greater Darwin,80,85.2,82.5,82.6
Greater Hobart,80.2,83.2,81.7,81.7
Greater Melbourne,82.9,86.1,84.5,84.5
Greater Perth,81.7,85.8,83.7,83.75
Greater Sydney,82.2,86.1,84.1,84.15
Hobart,80.2,83.2,81.7,81.7
Hume,80.8,84,82.4,82.4
Hunter Valley exc Newcastle,79.9,83.3,81.6,81.6
Illawarra,80.3,84.4,82.3,82.35
Ipswich,80.4,84,82.1,82.2
Latrobe - Gippsland,79.3,83.2,81.2,81.25
Launceston and North East,78.4,83.5,80.9,80.95
Logan - Beaudesert,80.1,83.7,81.9,81.9
Mackay - Isaac - Whitsunday,79.8,84.9,82.3,82.35
Mandurah,78.4,84.9,81.6,81.65
Melbourne - Inner,83.2,86.7,84.9,84.95
Melbourne - Inner East,85.3,87.7,86.5,86.5
Melbourne - Inner South,83.4,86.7,85,85.05000000000001
Melbourne - North East,83,86.2,84.6,84.6
Melbourne - North West,82.1,85.5,83.8,83.8
Melbourne - Outer East,82.9,86.2,84.5,84.55000000000001
Melbourne - South East,83.1,85.9,84.4,84.5
Melbourne - West,81.8,85.3,83.5,83.55
Mid North Coast,78.4,84.1,81.2,81.25
Moreton Bay - North,79.1,83.8,81.4,81.44999999999999
Moreton Bay - South,82.8,86.5,84.6,84.65
Mornington Peninsula,80.9,85,82.9,82.95
Murray,78.2,83.5,80.8,80.85
New England and North West,78.6,83.8,81.1,81.19999999999999
Newcastle and Lake Macquarie,79.7,83.5,81.6,81.6
North West,79.1,83.9,81.5,81.5
Northern Territory - Outback,72.8,76.2,74.5,74.5
Perth - Inner,83.1,86.5,84.7,84.8
Perth - North East,81,85.5,83.2,83.25
Perth - North West,82.6,86.4,84.4,84.5
Perth - South East,81.5,85.2,83.3,83.35
Perth - South West,81.4,86,83.6,83.7
Queensland - Outback,76.5,81,78.7,78.75
Rest of NSW,79.1,83.9,81.5,81.5
Rest of NT,72.8,76.2,74.5,74.5
Rest of Qld,79.8,84.7,82.2,82.25
Rest of SA,79.4,84.1,81.7,81.75
Rest of Tas.,78.5,83.5,80.9,81.0
Rest of Vic.,80.1,84.2,82.1,82.15
Rest of WA,78.9,83.6,81.2,81.25
Richmond - Tweed,78.2,84.2,81.1,81.2
Riverina,79.5,83.5,81.4,81.5
Shepparton,79.5,84.4,81.9,81.95
South Australia - Outback,78.1,82.5,80.3,80.3
South Australia - South East,79.7,84.9,82.2,82.30000000000001
South East,78.9,83.7,81.2,81.30000000000001
Southern Highlands and Shoalhaven,78.9,84.6,81.7,81.75
Sunshine Coast,81.3,85.9,83.6,83.6
Sydney - Baulkham Hills and Hawkesbury,84.6,87.5,86,86.05
Sydney - Blacktown,80.8,84.7,82.7,82.75
Sydney - City and Inner South,81.2,86.3,83.7,83.75
Sydney - Eastern Suburbs,83.4,86.9,85.1,85.15
Sydney - Inner South West,82,86.2,84,84.1
Sydney - Inner West,83.2,87.6,85.4,85.4
Sydney - North Sydney and Hornsby,85.3,88.1,86.7,86.69999999999999
Sydney - Northern Beaches,84.2,86.9,85.5,85.55000000000001
Sydney - Outer South West,80.6,83.6,82.1,82.1
Sydney - Outer West and Blue Mountains,79.5,84.3,81.8,81.9
Sydney - Parramatta,82,85.8,83.9,83.9
Sydney - Ryde,84.8,86.8,85.8,85.8
Sydney - South West,81.6,85.8,83.7,83.69999999999999
Sydney - Sutherland,83.3,86.7,85,85.0
Toowoomba,80.2,85.1,82.6,82.65
Total Australian Capital Territory,81.2,85.3,83.2,83.25
Total New South Wales,80.6,84.9,82.7,82.75
Total Northern Territory,75.5,80.2,77.8,77.85
Total Queensland,80.2,84.7,82.4,82.45
Total South Australia,80.4,84.7,82.5,82.55000000000001
Total Tasmania,79.3,83.2,81.2,81.25
Total Victoria,81.7,85.3,83.5,83.5
Total Western Australia,80.5,85.1,82.8,82.8
Townsville,79.1,84.4,81.7,81.75
Warrnambool and South West,80.5,84.9,82.7,82.7
West and North West,78.6,82.4,80.4,80.5
Western Australia - Outback (North),78,79.8,78.9,78.9
Western Australia - Outback (South),77.6,82.4,79.9,80.0
Western Australia - Wheat Belt,78.6,84.3,81.4,81.44999999999999
Wide Bay,77.9,83.2,80.5,80.55000000000001
